Topic,Source,Last Updated,Question,Answer
,World Health Organization,3/29/2021,"How should I put on, wear and take off a medical mask?","How to put on and take off a medical mask:Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water. Inspect the mask for tears or holes; do not use a mask that has previously been worn or is damaged. Verify which side is the top this is usually where the metal strip is. Then, identify the inside of the mask, which is usually the white side. Place the mask on your face covering your nose, mouth and chin, making sure that there are no gaps between your face and the mask. Place the straps behind your head or ears. Do not cross the straps because this can cause gaps on the side of the mask.Pinch the metal strip so it moulds to the shape of your nose.Remember, do not touch the front of the mask while using it to avoid contamination; if you accidentally touch it, clean your hands. How to take off a medical mask:Before touching the mask, clean your hands with an alcohol-based hand rub or soap and water.Remove the straps from behind the head or ears, without touching the front of the mask. As you remove the mask, lean forward and pull the mask away from your face. Medical masks are for single use only; discard the mask immediately, preferably into a closed bin. Clean your hands after touching the mask.Be aware of the condition of the mask; replace it if it gets soiled or damp."
,World Health Organization,3/29/2021,"What is the difference between medical masks and respirators, like N95s?","Medical masks (also known as surgical masks) are:composed of 3 layers of synthetic nonwoven materialsconfigured to have filtration layers sandwiched in the middleavailable in different thicknesseshave various levels of fluid-resistance and filtrationRespirators (also known as filtering facepiece respirators FFP) are available at different performance levels such as FFP2, FFP3, N95, N99.Medical masks and respirator masks are similar in their protection value. However, respirators are specific for certain procedures and instances because they have a tightly fitted component to them. Respirator masks are designed to protect healthcare workers who provide care to COVID-19 patients in settings and areas where aerosol generating procedures are undertaken. Healthcare workers should be fit tested before using a respirator to ensure that they are wearing the correct size. Wearing a loose-fitting respirator will not offer the same protection to the wearer and may allow small particles to get inside the mask through the sides."
,World Health Organization,3/29/2021,Does WHO recommend the use of masks with exhalation valves to prevent transmission of COVID-19?,"No, WHO does not advise using masks or respirators with exhalation valves. These masks are intended for industrial workers to prevent dust and particles from being breathed in as the valve closes on inhale. However, the valve opens on exhale, making it easier to breathe but also allowing any virus to pass through the valve opening. This makes the mask ineffective at preventing the spread of COVID-19 or any other respiratory virus."
,World Health Organization,3/29/2021,Does WHO recommend the use of gloves in the community to prevent transmission of COVID-19?,"No, WHO does not advise using gloves by people in the community. Instead, WHO encourages the installation of public hand hygiene stations at the entrance and exit of public places, such as supermarkets or public/private buildings. This helps reduce germs brought in by peoples hands. By widely improving hand hygiene practices, countries can help prevent the spread of the COVID-19 virus and other infections."
,World Health Organization,3/29/2021,When should health workers wear masks in the context of COVID-19?,"Health workers are the most likely to be exposed to COVID-19 because they are in close contact with patients with suspected, probable or confirmed COVID-19.In areas of community or cluster transmission, health workers, caregivers and visitors should wear a mask at all times when in the health facility, even if physical distancing can be maintained. Masks should be worn throughout their shifts, apart from when eating, drinking or needing to change the mask for specific reasons:Health workers and caregivers include: doctors, nurses, midwives, medical attendants, cleaners, community health workers, and any others working in clinical areas.Health workers must remember to combine hand hygiene with any time they touch their mask or face, before and after putting on and removing their masks, as well as before they touch them to readjust them. In areas with sporadic spread of COVID-19, health workers in clinical areas should wear medical masks throughout their shift apart from when eating, drinking or needing to change the mask for specific reasons. Health workers should continue to physically distance and avoid unnecessary close contact with colleagues and others in the facility when not providing patient care. Respirator masks are recommended for use where aerosol generating procedures are in place for a suspect/confirmed COVID-19 patient. In these settings, WHO recommends the use of airborne and contact precautions.Ashealth workers have been infected with COVID-19 outside of health facilities, it is critical that health workers, as all people, follow the guidance to protect themselves from infection when outside of a health facility."
,World Health Organization,3/29/2021,How large does a meeting or event need to be in order to be a mass gathering?,"High profile international sporting events such as the Olympics or World Cups as well as international religious events such as the Hajj count as mass gatherings. However, lower profile conferences and events can also meet WHOs definition of a mass gathering. An event counts as a mass gatherings if the number of people it brings together is so large that it has the potential to strain the planning and response resources of the health system in the community where it takes place. You need to consider the location and duration of the event as well as the number of participants. For example, if the event takes place over several days in a small island state where the capacity of the health system is quite limited then even an event with just a few thousand participants could place a big strain on the health system and then be considered a mass gathering event. Conversely, if the event is held in a big city in a country with a large, well-resourced health system and lasts just a few hours, the event may not constitute a mass gathering event."
,World Health Organization,3/29/2021,Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?,"No. As each international mass gathering is different, the factors to consider when determining if the event should be cancelled may also differ. Any decision to change a planned international gathering should be based on a careful assessment of the risks and how they can be managed, and the level of event planning. The assessment should involve all stakeholders in the event, and in particular the health authorities in the country or community where the event is due to take place. These authorities and stakeholders are in the best position to assess the level of stress the event might place on the local health system and emergency services and whether this level of stress is acceptable in the current situation. It is WHOs view that all countries with community transmission should seriously consider postponing or reducing mass gatherings that bring people together and have the potential to amplify disease and support the recommended best practice of physical distancing. Any decision will be supported through the use of WHO tools, in particular the Risk Assessment for Mass Gatherings during COVID-19. If movement restrictions and further national measures have been established in the country, the WHO RA does not apply. However, when the process of re-opening/conducting mass gatherings is being considered post movement restrictions, it will be key to ensure any decisions are based on a risk assessment, such as the WHO Mass gatherings COVID-19 risk assessment."
,World Health Organization,3/29/2021,What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?,"For countries not currently known to be experiencing community transmission of COVID-19, the priority consideration will be whether the planned mass gathering event substantially increases the risk of the virus entering the country and becoming established, as well as the risk for participants to importing infection back to their home country and further increasing global spread. In making this assessment, the organizers and their national or local health authorities should recognize that the risk of imported cases of COVID-19 is naturally linked to international travel. They should also recognize that it is neither realistic or desirable to aim for zero risk. When organizers and health authorities are determining whether to hold a mass gathering, they should determine what is an acceptable risk and what additional measures should be implemented to mitigate the risks.For countries where COVID-19 has already started to spread in the community, key consideration will be: aiming at containing or at least slowing down the spread of the virus in the local community/country.preventing participants from other countries being infected with COVID-19 In each case the risk should be considered in the context of the known features of COVID-19, its severity, its transmissibility and the effectiveness of measures to prevent or reduce transmission. The strain already placed on the local health system in responding to COVID-19 outbreak(s), and the additional strain the mass gathering might place on the system also need to be taken into account.You can find more advice on what to look at in the WHO document Key planning recommendations for Mass Gatherings in the context of the current COVID-19 outbreak of 14 February 2020. See: https://www.who.int/publications-detail/key-planning-recommendations-for-mass-gatherings-in-the-context-of-the-current-covid-19-outbreak"
,World Health Organization,3/29/2021,What if my organization does not have the expertise to assess the risks COVID-19 poses for our planned mass gathering?,The national and local public health authorities in the country where you plan to hold the mass gathering will most likely know how to conduct a health risk assessment. If there is a WHO Country Office there they may also be able to provide some expert support. So too might the WHO Regional Office in your part of the world. You can find the names and contact details of the WHO Regional Offices at https://www.who.int/about/who-we-are/regional-offices
,World Health Organization,3/29/2021,"If we go ahead with an international mass gathering, what can we do to reduce the risk of participants catching COVID-19?","Promote hand washing, respiratory hygiene and social distancing at the event. Make sure you have emergency contact details for all participants, including where they are staying during the event. You should make it clear to them that this information will be shared with the local public health authorities to enable rapid contact tracing if a participant at the event becomes ill with COVID-19. The event organisers need to have an agreed preparedness plan in case one or more participants become ill with COVID-19 symptoms. This should include rapid isolation of the ill person and their safe transfer to a local health facility. You should consider whether the number of participants at the event could be reduced, making available participation by video or teleconference and possibly screening participants for COVID-19 symptoms (cough, fever, malaise) at points of entry to the venue. You can find advice on how individual participants can protect themselves and their loved ones from COVID-19 at: https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public"
,World Health Organization,3/29/2021,Are pregnant women at higher risk from COVID-19?,"Pregnant women or recently pregnant women who are older, overweight, and have pre-existing medical conditions such as hypertension and diabetes seem to have an increased risk of developing severe COVID-19. When pregnant women develop severe disease, they also seem to more often require care in intensive care units than non-pregnant women of reproductive age.Due to changes in their bodies and immune systems, we know that pregnant women can be badly affected by some respiratory infections. It is therefore important that they take precautions to protect themselves against COVID-19, and report possible symptoms (including fever, cough or difficulty in breathing) to their healthcare provider.WHO will continue to review and update its information and advice as more evidence becomes available."
,World Health Organization,3/29/2021,Im pregnant. How can I protect myself against COVID-19?,"Pregnant women should take the same precautions to avoid COVID-19 infection as other people. You can help protect yourself by:Washing your hands frequently with an alcohol-based hand rub or soap and water.Keeping space between yourself and others and avoiding crowded spaces. Wear a non-medical, fabric mask where it is not possible to keep sufficient physical distance between yourself and others.Avoiding touching your eyes, nose and mouth.Practicing respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.If you have fever, cough or difficulty breathing, seek medical care early. Call before going to a health facility, and follow the directions of your local health authority. Pregnant women and women who have recently delivered should attend their routine care appointments, according to local policies and following adapted measures to reduce possible transmission of the virus."
,World Health Organization,3/29/2021,Should pregnant women be tested for COVID-19?,"Testing protocols and eligibility during pregnancy vary depending on where you live.However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care."
,World Health Organization,3/29/2021,Can COVID-19 be passed from a woman to her unborn or newborn baby?,"We still do not know if a pregnant woman with COVID-19 can pass the virus to her fetus or baby during pregnancy or delivery. To date, the active virus has not been found in samples of fluid around the baby in the womb or breastmilk."
,World Health Organization,3/29/2021,What care should be available during pregnancy and childbirth?,"All pregnant women and their newborns, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth, including mental health care.A safe and positive childbirth experience includes:Being treated with respect and dignity;Having a companion of choice present during delivery;Clear communication by maternity staff;Appropriate pain relief strategies:Mobility in labour where possible, and birth position of choice.If COVID-19 is suspected or confirmed, health workers should take all appropriate precautions to reduce risks of infection to themselves and others, including hand hygiene, and appropriate use of protective clothing like gloves, gown and medical mask."
,World Health Organization,3/29/2021,Do pregnant women with suspected or confirmed COVID-19 need to give birth by caesarean section?,No. WHO advice is that caesarean sections should only be performed when medically justified.The mode of birth should be individualized and based on a womans preferences alongside obstetric indications.
,World Health Organization,3/29/2021,Can I touch and hold my newborn baby if I have COVID-19?,"Yes. Close contact and early, exclusive breastfeeding helps a baby to thrive. You should be supported toBreastfeed safely, with good respiratory hygiene; Hold your newborn skin-to-skin, andShare a room with your babyYou should wash your hands before and after touching your baby, and keep all surfaces clean. Mothers with symptoms of COVID-19 are advised to wear a medical mask, during any contact with the baby."
,World Health Organization,3/29/2021,What is COVID-19?,"COVID-19 is a disease caused by a new coronavirus, which has not been previously identified in humans. In most cases, COVID-19 causes mild symptoms including dry cough, tiredness and fever, though fever may not be a symptom for some older people. Other mild symptoms include aches and pains, nasal congestion, runny nose, sore throat or diarrhoea. Some people become infected but dont develop any symptoms and don't feel unwell. Most people recover from the disease without needing special treatment. Around 1 out of every 6 people who get COVID-19 becomes seriously ill and has difficulty breathing."
,World Health Organization,3/29/2021,How is COVID-19 transmitted?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth, which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, and then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets."
,World Health Organization,3/29/2021,Who is at risk of developing severe disease?,"Older people, and people of all ages with pre-existing medical conditions (such as diabetes, high blood pressure, heart disease, lung disease, or cancer) appear to develop serious illness more often than others."
,World Health Organization,3/29/2021,What can I do to prevent infection?,"To prevent infection, there are a five things that you can do. 1.Wash your hands frequently and thoroughly with soap and water and dry them thoroughly. You can also use alcohol-based hand rub if your hands are not visibly dirty and if this product is available. Cleaning your hands frequently will remove the virus if it is on your hands. You can learn how to wash your hands in this video (or this visual).If an alcohol-based hand rub or soap is not available, then using chlorinated water (0.05%) for handwashing is an option, but it is not ideal because frequent use may irritate your skin. 2.Cover your mouth and nose with a flexed elbow or tissue when coughing and sneezing. And remember to throw away the used tissue immediately in a bin with a lid and to wash your hands. This way you protect others from any virus released through coughs and sneezes. 3.Avoid touching your eyes, nose and mouth. Hands touch many surfaces which can be contaminated with the virus. If you touch your eyes, nose or mouth with unclean hands, you can transfer the virus from the surface to yourself. 4.Keep physical distance from others. If your national or local authorities have put in place confinement measures, it is important to respect them. Taking exercise outside is good for your physical and mental health, but should only be undertaken if regulations for your area allow it. When you do go out, avoid crowded spaces and maintain at least 1 metre distance (3 feet or arms-length) from others. Avoid unnecessary visits to your house. If visits are necessary (e.g. caregiver to support with activities of daily living), ask your visitor to regularly check for symptoms to ensure that they are symptom free when visiting you. Ask them to also follow these five key actions, including washing their hands when they first enter your home. 5. Clean and disinfect frequently touched surfaces every day. This includes tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, taps, and sinks. If surfaces are dirty, use detergent or soap and water prior to disinfection. "
,World Health Organization,3/29/2021,What can older people do to prepare for COVID-19 in their community?,"There is a lot that you can do to prepare for COVID-19 in your community. Inform yourself of the special measures taken in your community as well as the services and the sources of reliable information that are availableduring the health emergency (e.g. home deliveries, psychosocial support, health ministry website, alternative access to your pension).Create a list of the basic supplies that you will need for at least two weeks and try to get these delivered where possible (e.g. non-perishable food items, household products, batteries for assistive devices you may use, and prescription medicines). Alternatively, ask family members, caregivers, neighbours or community leaders to help with ordering and/or delivery of groceries or prescription medicines. Make sure that your mobile phone credit is topped up and identify a safe place to charge your phone regularly so that you can keep in contact with family and friends and reach emergency services if needed. Make a list of emergency numbers (e.g. COVID-19 local helpline, nearby hospital and health emergencies numbers, hotline for victims of abuse, psychosocial support hotline) and support contacts (e.g. family members and friends, main caregiver, community care worker, associations of older persons). If you live alone, you may wish to share this list and ask your neighbours, family or caregiver to be in touch regularly, for example, by phone or video chat. Discuss with your health-care worker how your health needs can be addressed during COVID-19. This may involve postponing non-urgent appointments, talking to your doctor or health-care worker by phone or video chat instead of in person and/or revising your vaccination schedule.If you rely on the support provided by a caregiver, identify with him or her another person that you trust to support your daily living and care needs in case your caregiver is unable to continue to provide care. Together, you can note down all the personal care and assistance that you require and how it should be provided and share it with this trusted person so that they can be ready to provide care in case of need.If you are the primary caregiver of another person who is care dependent (e.g. grandchild, older spouse, child with a disability), identify a person that you and the person that you care for trust to take on your caregiving responsibilities in case you fall sick. Local authorities or volunteer organizations that provide support in these situations in your community might be able to help.If multiple people live in your home, if possible prepare a separate room or space in your home so that anyone showing symptoms compatible with COVID-19 can be isolated from others. If you do not have space for self-isolation, contact your community leaders or local health authorities to see if there is community space that could help you or other household members self-isolate.Think about what matters most to you regarding care and support, including medical treatment, in case something happens to you and you are unable to make your own decisions. If you want to develop an advanced care plan to record your treatment and care wishes, you can talk about it with your health-care worker or someone that you trust. You can write down your wishes and share them with people you trust."
,World Health Organization,3/29/2021,How can I keep healthy on a daily basis during the COVID-19 pandemic?,"You can follow these 10 steps to keep healthy during the COVID-19 pandemic.Keep to your regular routines as much as possible and maintain a daily schedule for yourself including sleeping, meals and activities. Stay socially connected. Speak to loved ones and people you trust every day or as much as possible, using the telephone, video-calls or messaging, through writing letters, etc. Use this time to share your feelings and to do common hobbies together. Be physically active every day. Reduce long periods of sitting and set up a daily routine that includes at least 30 minutes of exercise. Make sure to do activities that are safe and appropriate for your level of physical fitness as indicated by your health-care worker. You can use household chores as a way to keep physically active, follow an on-line class (e.g. Tai Chi, yoga) or choose your favourite music and dance to that. Drink water and eat healthy and well-balanced meals. This will keep you hydrated, help strengthen your immune system and lower the risk of chronic illnesses and infectious diseases. For nutrition advice click here. Avoid smoking and drinking alcohol. Smokers are likely to be more vulnerable to COVID-19 because smoking can affect lung capacity and because the act of smoking increases the possibility of transmission of virus from hand to mouth. Drinking alcohol not only disturbs your sleep but may also increase your risk of falls, weaken your immune system, and interact with any prescription medicines that you are taking. Limit the amount of alcohol you drink or dont drink alcohol at all. Take breaks from news coverage about COVID-19 as prolonged exposure can cause feelings of anxiety and despair. Seek updates at specific times of the day from a reliable source like the WHO website or national or local channels in order to help you distinguish facts from rumours or scams. Engage in hobbies and activities that you enjoy or learn something new. Cognitive exercise such as reading a book or doing crosswords/Sudoku will keep your mind active and distract you from worrying. You can also use this time to keep a well-being diary. If you have ongoing health conditions, take your prescribed medicines and follow the advice of your health-care worker regarding any health visits or phone consultations. If you have an emergency medical condition that is not related to COVID-19, contact health emergencies immediately and ask what you should do next. Follow the instructions of the health-care worker. If stress, worry, fear or sadness get in the way of your daily activities for several days in a row, seek psychosocial support from available services in your community. If you are subject to abuse or violence from others, tell someone you trust and report this to the relevant authorities. You can also seek support from dedicated helplines that may be available in your country."
,World Health Organization,3/29/2021,What should I do if I have symptoms of COVID-19?,"If you present symptoms related to COVID-19, seek medical advice. Call by phone first if possible and give information about pre-existing health conditions and medicines that you are taking. Follow the instructions of the health-care worker and monitor your symptoms regularly. If you have difficulty breathing, contact health emergencies immediately as this may be due to a respiratory infection. Call by phone first if possible to learn what to do next.If you live with others, make sure that you isolate yourself as soon as you suspect infectionby using the space that you identified in advance. You and other members of the household should also wear a medical mask as much as possible if these are available. You can learn how to wear a mask here.If you live with others and home care for COVID-19 is advised by your health-care worker, other household members should follow available guidance on home care for patients with COVID-19 presenting with mild symptoms and management of their contacts (guidance here). See related flyers for people who are ill, for household members and for caregivers.If you live alone and home care for COVID-10 is advised by your health-care worker, ask your family, friends, neighbours, health-care worker or a local volunteer organisation to check in on you regularly and to provide support as needed following existing guidance for caregivers (guidance here)."
,World Health Organization,3/29/2021,I have recently lost someone I care about. What advice do you have to help me cope?,"Losing someone close to you is always hard, whatever the cause. During these extraordinary circumstances, when your usual routine may be disrupted and when funerals may not be permitted, it may be even harder. Following this advice may help. Do not criticise yourself for how you feel. When you lose a family member or friend to COVID-19, you may experience a range of emotions. You may also have difficulty sleeping or low levels of energy. All these feelings are normal and there is no right or wrong way to feel grief.Allow yourself time to process your emotions in response to your loss. You may think that the sadness and pain that you feel will never go away, but in most cases, these feelings lessen over time.Talk regularly with people that you trust about your feelings.Keep to your routines as much as you feel able and try to focus on activities that bring you joy.Seek advice and comfort from people that you trust (e.g. religious/faith leaders, mental health workers or other trusted members of your community) while maintaining physical distance (e.g. attending virtual mass). Think of alternative ways to say goodbye to the person who passed away such as writing a letter or dedicating a drawing to your loved one. These are small actions that can help you cope with grief and loss, particularly in situations where funeral services are not permitted"
,World Health Organization,3/29/2021,What precautions are necessary when visiting someone in a health and/or long-term care facility?,"If you have been in contact with someone suspected or confirmed with COVID-19, or are feeling unwell, do not visit any health or long-term care facility.Follow the facility guidelines on any visit requirements, including screening and wearing a mask.Clean your hands before entering and try to keep at least a 1 metre distance from others.If you are 60 or over, or have a chronic condition like heart disease, take extra precautions by wearing a medical mask during your visit."
,World Health Organization,3/29/2021,Are children at lower risk of COVID-19 than adults?,"So far, data suggests that children under the age of 18 years represent about 8.5% of reported cases, with relatively few deaths compared to other age groups and usually mild disease. However, cases of critical illness have been reported. As with adults, pre-existing medical conditions have been suggested as a risk factor for severe disease and intensive care admission in children.Further studies are underway to assess the risk of infection in children and to better understand transmission in this age group."
,World Health Organization,3/29/2021,What is the role of children in transmission?,"The role of children in transmission is not yet fully understood. To date, few outbreaks involving children or schools have been reported. However, the small number of outbreaks reported among teaching or associated staff to date suggests that spread of COVID-19 within educational settings may be limited.As children generally have milder illness and fewer symptoms, cases may sometimes go unnoticed. Importantly, early data from studies suggest that infection rates among teenagers may be higher than in younger children.Considering that many countries are starting to slowly lift restrictions on activities, the longer-term effects of keeping schools open on community transmission are yet to be evaluated. Some modelling studies suggest that school re-opening might have a small effect on wider transmission in the community, but this is not well understood. Further studies are underway on the role of children in transmission in and outside of educational settings. WHO is collaborating with scientists around the world to develop protocols that countries can use to study COVID-19 transmission in educational institutions."
,World Health Organization,3/29/2021,"Should children with underlying health conditions (asthma, diabetes, obesity) return to school?","Whether a child should go to school depends on their health condition, the current transmission of COVID-19 within their community, and the protective measures the school and community have in place to reduce the risk of COVID-19 transmission. While current evidence suggests that the risk of severe disease for children is lower overall than for adults, special precautions can be taken to minimize the risk of infection among children, and the benefits of returning to school should also be considered.Current evidence suggests that people with underlying conditions such as chronic respiratory illness including asthma (moderate-to-severe), obesity, diabetes or cancer, are at higher risk of developing severe disease and death than people without other health conditions. This also appears to be the case for children, but more information is still needed."
,World Health Organization,3/29/2021,Should teachers and other staff with underlying health conditions return to school?,"Adults 60 years and older and people with underlying health conditions are at higher risk for severe disease and death. The decision to return to a teaching environment depends on the individual and should include consideration of local disease trends, as well as the measures being put in place in schools to prevent further spread."
,World Health Organization,3/29/2021,What is the incubation period for children?,"The incubation period for children is the same as in adults. The time between exposure to COVID-19 and when symptoms start is commonly around 5 to 6 days, and ranges from 1 to 14 days."
,World Health Organization,3/29/2021,What should be considered when deciding whether to re-open schools or keep them open?,"Deciding to close, partially close or reopen schools should be guided by a risk-based approach, to maximize the educational, well-being and health benefit for students, teachers, staff, and the wider community, and help prevent a new outbreak of COVID-19 in the community.Several elements should be assessed in deciding to re-open schools or keep them open:The epidemiology of COVID-19 at the local level: This may vary from one place to another within a countryBenefits and risks: what are the likely benefits and risks to children and staff of open schools? Including consideration of:Transmission intensity in the area where the school operates: No cases, sporadic transmission; clusters transmission or community transmissionOverall impact of school closures on education, general health and wellbeing; and on vulnerable and marginalized populations (e.g. girls, displaced or disabled)Effectiveness of remote learning strategiesDetection and response: Are the local health authorities able to act quickly?The capacity of schools/educational institutions to operate safelyCollaboration and coordination: Is the school collaborating with local public health authorities?The range of other public health measures being implemented outside school"
,World Health Organization,3/29/2021,What benefits would school re-opening provide?,"School closures have clear negative impacts on child health, education and development, family income and the overall economy. The decision to reopen schools should include consideration of the following benefits:Allowing students to complete their studies and continue to the next level. Essential services, access to nutrition, child welfare, such as preventing violence against children. Social and psychological well-beingAccess to reliable information on how to keep themselves and others safeReducing the risk of non-return to school. Benefit to society, such as allowing parents to work."
,World Health Organization,3/29/2021,What are the prevention and control measures to be prepared and put in place in schools?,"There are several actions and requirements that should be reviewed and put in place to prevent the introduction and spread of COVID-19 in schools and into the community; and to ensure the safety of children and school staff while at school. Special provisions should be considered for early childhood development, higher learning institutions, residential schools or specialized institutions.WHO recommends the following:Community-level measures: Carry out early detection, testing, contact tracing and quarantine of contacts; investigate clusters; ensure physical distancing, hand and hygiene practices and age-appropriate mask use; shield vulnerable groups. Community-led initiatives such as addressing misleading rumors also play an important role in reducing the risk of infection.Policy, practice and infrastructure: Ensure the necessary resources, policies and infrastructure, are in place that protect the health and safety of all school personnel, including people at higher risk.Behavioral aspects: Consider the age and capacity of students to understand and respect measures put in place. Younger children may find it more difficult to adhere to physical distancing or the appropriate use of masks.Safety and security: School closure or re-opening may affect the safety and security of students and the most vulnerable children may require special attention, such as during pick-up and drop-off.Hygiene and daily practices at the school and classroom level: Physical distancing of at least 1 metre between individuals including spacing of desks, frequent hand and respiratory hygiene, age-appropriate mask use, ventilation and environmental cleaning measures should be in place to limit exposure. Schools should educate staff and students on COVID-19 prevention measures, develop a schedule for daily cleaning and disinfection of the school environment, facilities and frequently touches surfaces, and ensure availability of hand hygiene facilities and national/local guidance on the use of masks.Screening and care of sick students, teachers and other school staff: Schools should enforce the policy of staying home if unwell, waive the requirement for a doctors note, create a checklist for parents/students/staff to decide whether to go to school (taking into consideration the local situation), ensure students who have been in contact with a COVID-19 case stay home for 14 days, and consider options for screening on arrival.Protection of individuals at high-risk: Schools should identify students and teachers at high-risk with pre-existing medical conditions to come up with strategies to keep them safe; maintain physical distancing and se of medical masks as well as frequent hand hygiene and respiratory etiquette.Communication with parents and students: Schools should keep students and parents informed about the measures being implemented to ensure their collaboration and support.Additional school-related measures such as immunization checks and catch-up vaccination programmes: Ensure continuity or expansion of essential services, including school feeding and mental health and psycho-social support.Physical distancing outside classrooms: Maintain a distance of at least 1 metre for both students (all age groups) and staff, where feasible.Physical distancing inside classrooms:In areas with community transmission of COVID-19, maintain a distance of at least 1 metre between all individuals of all age groups, for any schools remaining open. This includes increasing desk spacing and staging recesses, breaks and lunchbreaks; limiting the mixing of classes and of age groups; considering smaller classes or alternating attendance schedules, and ensuring good ventilation in classrooms.In areas with cluster-transmission of COVID-19, a risk-based approach should be taken when deciding whether to keep a distance of at least 1 metre between students. Staff should always keep at least 1 metre apart from each other and from students and should wear a mask in situations where 1-metre distance is not practical.In areas with sporadic cases/no cases of COVID-19, children under the age of 12 should not be required to keep physical distance at all times. Where feasible, children aged 12 and over should keep at least 1 metre apart from each other. Staff should always keep at least 1 metre from each other and from students and should wear a mask in situations where 1-metre distance is not practical. Remote learning: Where children cannot attend classes in person, support should be given to ensure students have continued access to educational materials and technologies (internet, texting radio, radio, or television), (e.g. delivering assignments or broadcasting lessons). Shutting down educational facilities should only be considered when no alternatives are available."
,World Health Organization,3/29/2021,What are the risks during transportation to and from schools?,"The following adaptations to transport to and from school should be implemented to limit unnecessary exposure of school or staff members.Promote and put in place respiratory and hand hygiene, physical distancing measures and use of masks in transportation such as school buses, in accordance with local policy.Provide tips for how to safely commute to and from school, including for public transportation.Organize only one child per seat and ensure physical distancing of at least 1 metre between passengers in school buses, if possible. This may require more school buses per school.If possible and safe, keep the windows of the buses, vans, and other vehicles open."
,World Health Organization,3/29/2021,"Does WHO recommend staff and children to wear masks at school? And if yes, what type of masks?","In countries or areas where there is intense community transmission of COVID-19 and in settings where physical distancing cannot be achieved, the following criteria for use of masks in schools are recommended:1. Children aged 5 years and under should not be required to wear masks.2. For children between six and 11 years of age, a risk-based approach should be applied to the decision to use a mask, considering:intensity of transmission in the area where the child is and evidence on the risk of infection and transmission in this age group.beliefs, customs and behaviours.the childs capacity to comply with the correct use of masks and availability of adult supervision.potential impact of mask wearing on learning and development.additional considerations such as sport activities or for children with disabilities or underlying diseases.3. Children and adolescents 12 years or older should follow the national mask guidelines for adults.4. Teacher and support staff may be required to wear masks when they cannot guarantee at least a 1-metre distance from others or there is widespread transmission in the area.Types of mask:Fabric masksare recommended to prevent onward transmission in the general population in public areas, particularly where distancing is not possible, and in areas of community transmission.This could include the school grounds in some situations. Masks may help to protect others,because wearers may be infected before symptoms of illness appear. The policy on wearing a mask or face covering should be in line with national or local guidelines.Where used, masks should be worn, cared for and disposed of properly.The use of masks by children and adolescents in schools should only be considered as one part of a strategy to limit the spread of COVID-19."
,World Health Organization,3/29/2021,Are there any specific recommendations on school ventilation and air conditioning use?,"Yes, ensure adequate ventilation and increase total airflow supply to occupied spaces, if possible. Clean, natural ventilation (i.e., opening windows) should be used inside buildings where possible, without re-circulating the air. If heating, ventilation and air conditioning systems are used they should be regularly inspected, maintained and cleaned. Rigorous standards for installation, maintenance and filtration are essential to make sure they are effective and safe. Consider running the systems at maximum outside airflow for two hours before and after times when the building is occupied, according to the manufacturers recommendations."
,World Health Organization,3/29/2021,What should be monitored after re-opening of school?,"The following should be monitored:effectiveness of symptoms-reporting, monitoring, rapid testing and tracing of suspected casesthe effects of policies and measures on educational objectives and learning outcomesthe effects of policies and measures on health and well-being of children, siblings, staff, parents and other family membersthe trend in school dropouts after lifting the restrictionsthe number of cases in children and staff in the school, and frequency of school-based outbreaks in the local administrative area and the country.Assessment of impact of remote teaching on learning outcomes.Based on what is learned from this monitoring, further modifications should be made to continue to provide children and staff with the safest environment possible."
